id,sport,start,stop,distance,longitude,latitude,highest_temperature,lowest_temperature,highest_altitude,lowest_altitude,local_time,ascent_total,descent_total,calories,max_heart_rate,duration_moving,duration_total
1708986361.0,running,2024-02-26T22:26:01+0000,2024-02-26T23:15:44+0000,8020.02,1667430854.0,426201278.0,21,12,134.79999999999995,113.39999999999998,2024-02-27T08:15:44,44.0,36.0,649.0,205.0,2974.25,2974.25
1703146209.0,running,2023-12-21T08:10:09+0000,2023-12-21T09:08:43+0000,10275.92,-569825792.0,-186466277.0,30,23,1214.4,1146.2,2023-12-21T06:08:43,127.0,143.0,682.0,165.0,3497.522,3497.522
1619335414.0,running,2021-04-25T07:23:34+0000,2021-04-25T08:21:45+0000,6723.84,-569830708.0,-186456474.0,28,23,1211.2,1196.8,2021-04-25T05:21:45,53.0,60.0,454.0,183.0,1985.956,1985.956
1724659395.0,running,2024-08-26T08:03:15+0000,2024-08-26T10:00:28+0000,17832.52,-569825401.0,-186465504.0,29,18,1186.8,1165.0,2024-08-26T07:00:28,167.0,183.0,778.0,163.0,6840.466,7018.986
1695069488.0,running,2023-09-18T20:38:08+0000,2023-09-18T21:10:28+0000,6670.07,1654387981.0,-416430569.0,25,21,101.20000000000005,62.799999999999955,2023-09-19T06:40:28,33.0,47.0,374.0,177.0,1934.321,1934.321
1709684338.0,walking,2024-03-06T00:18:58+0000,2024-03-06T00:56:34+0000,3068.13,1616802376.0,412915447.0,18,17,124.39999999999998,116.60000000000002,2024-03-06T09:56:34,5.0,12.0,124.0,106.0,2250.127,2250.127
1689479464.0,walking,2023-07-16T03:51:04+0000,2023-07-16T05:00:46+0000,3088.21,1652330890.0,-418488062.0,29,24,85.79999999999995,5.199999999999989,2023-07-16T14:30:46,141.0,68.0,317.0,137.0,4175.074,4175.074
1696448217.0,running,2023-10-04T19:36:57+0000,2023-10-04T20:10:56+0000,6598.51,1654377578.0,-416417319.0,21,16,107.20000000000005,63.39999999999998,2023-10-05T06:40:56,43.0,47.0,410.0,174.0,2032.866,2032.866
1702541306.0,running,2023-12-14T08:08:26+0000,2023-12-14T09:05:24+0000,10245.22,-569825890.0,-186466212.0,30,26,1222.8,1153.4,2023-12-14T06:05:24,129.0,136.0,459.0,138.0,3407.987,3407.987
1676189469.0,running,2023-02-12T08:11:09+0000,2023-02-12T08:42:25+0000,3489.65,-569830804.0,-186456231.0,31,27,1213.2,1201.8,2023-02-12T05:42:25,34.0,36.0,150.0,142.0,1871.284,1871.284
1687809302.0,running,2023-06-26T19:55:02+0000,2023-06-26T21:00:51+0000,13137.47,1654376909.0,-416416005.0,25,18,101.60000000000002,48.200000000000045,2023-06-27T06:30:51,93.0,112.0,838.0,175.0,3942.999,3942.999
1614066583.0,running,2021-02-23T07:49:43+0000,2021-02-23T08:49:47+0000,10640.5,,,30,27,1191.0,1181.0,2021-02-23T05:49:47,1.0,13.0,617.0,159.0,3592.718,3592.718
1664955459.0,running,2022-10-05T07:37:39+0000,2022-10-05T08:37:08+0000,10116.39,-569830355.0,-186455757.0,29,24,1212.0,1190.2,2022-10-05T05:37:08,99.0,111.0,710.0,163.0,3559.288,3559.288
1628753679.0,running,2021-08-12T07:34:39+0000,2021-08-12T08:40:46+0000,7816.12,,,27,25,1194.0,1188.8,2021-08-12T05:40:46,4.0,11.0,611.0,154.0,3931.803,3931.803
1638088096.0,running,2021-11-28T08:28:16+0000,2021-11-28T08:54:54+0000,5348.13,-569831040.0,-186456482.0,30,24,1215.2,1203.0,2021-11-28T05:54:54,51.0,59.0,321.0,183.0,1590.976,1590.976
1624735874.0,running,2021-06-26T19:31:14+0000,2021-06-26T20:45:45+0000,5356.69,-569819945.0,-186477276.0,30,25,1230.6,1167.2,2021-06-26T17:45:45,74.0,68.0,367.0,127.0,4456.581,4456.581
1638861231.0,running,2021-12-07T07:13:51+0000,2021-12-07T08:23:46+0000,12092.1,-569830962.0,-186456134.0,29,22,1211.0,1192.8,2021-12-07T05:23:46,100.0,110.0,772.0,168.0,4183.499,4183.499
1698047724.0,running,2023-10-23T07:55:24+0000,2023-10-23T08:54:40+0000,10255.14,-569826438.0,-186465727.0,31,25,1220.6,1153.0,2023-10-23T05:54:40,136.0,146.0,577.0,179.0,3541.761,3541.761
1619509821.0,running,2021-04-27T07:50:21+0000,2021-04-27T09:20:25+0000,9655.33,,,30,28,1195.2,1188.0,2021-04-27T06:20:25,3.0,11.0,739.0,164.0,3899.58,3899.58
1666681425.0,running,2022-10-25T07:03:45+0000,2022-10-25T07:53:17+0000,8168.07,-569834188.0,-186457621.0,28,24,1231.0,1185.2,2022-10-25T04:53:17,242.0,254.0,554.0,161.0,2964.284,2964.284
1648109188.0,running,2022-03-24T08:06:28+0000,2022-03-24T08:34:57+0000,5378.2,-569830496.0,-186456272.0,29,22,1214.8,1198.8,2022-03-24T05:34:57,51.0,56.0,313.0,174.0,1703.602,1703.602
1617868934.0,running,2021-04-08T08:02:14+0000,2021-04-08T09:42:43+0000,11975.0,,,29,26,1204.2,1197.2,2021-04-08T06:42:43,3.0,11.0,912.0,168.0,4523.888,4523.888
1689456684.0,running,2023-07-15T21:31:24+0000,2023-07-15T22:17:00+0000,7908.22,1654377233.0,-416416817.0,21,14,103.0,15.0,2023-07-16T07:47:00,33.0,112.0,286.0,173.0,2731.539,2731.539
1696020190.0,hiking,2023-09-29T20:43:10+0000,2023-09-30T00:08:59+0000,17392.08,1654651054.0,-416368687.0,32,20,491.4,141.0,2023-09-30T09:38:59,729.0,721.0,1160.0,174.0,12338.583,12338.583
1619855637.0,running,2021-05-01T07:53:57+0000,2021-05-01T09:01:01+0000,6232.61,,,28,25,1192.2,1192.2,2021-05-01T06:01:01,3.0,4.0,477.0,165.0,2519.089,2519.089
1678955245.0,running,2023-03-16T08:27:25+0000,2023-03-16T09:32:49+0000,8934.9,1652577079.0,-415799356.0,30,26,15.399999999999977,-2.6000000000000227,2023-03-16T20:02:49,35.0,47.0,340.0,136.0,3752.374,3913.613
1647935906.0,running,2022-03-22T07:58:26+0000,2022-03-22T08:28:07+0000,5353.72,-569831014.0,-186456043.0,29,22,1214.2,1197.6,2022-03-22T05:28:07,42.0,48.0,315.0,163.0,1776.92,1776.92
1647330672.0,running,2022-03-15T07:51:12+0000,2022-03-15T08:27:09+0000,6243.1,-569830314.0,-186456241.0,29,23,1211.6,1194.8,2022-03-15T05:27:09,59.0,69.0,392.0,179.0,2128.469,2128.469
1635666697.0,running,2021-10-31T07:51:37+0000,2021-10-31T08:25:51+0000,6226.77,-569831236.0,-186456002.0,28,22,1211.8,1191.0,2021-10-31T05:25:51,58.0,63.0,381.0,162.0,2046.62,2046.62
1666943104.0,running,2022-10-28T07:45:04+0000,2022-10-28T08:29:20+0000,8045.02,-569831075.0,-186456484.0,30,24,1212.8,1196.8,2022-10-28T05:29:20,75.0,87.0,483.0,161.0,2651.011,2651.011
1684786629.0,running,2023-05-22T20:17:09+0000,2023-05-22T20:49:56+0000,6557.74,1654376979.0,-416417339.0,23,18,102.60000000000002,65.20000000000005,2023-05-23T06:19:56,36.0,45.0,387.0,169.0,1961.792,1961.792
1719475542.0,running,2024-06-27T08:05:42+0000,2024-06-27T10:02:30+0000,18591.13,-569826628.0,-186463741.0,28,20,1224.2,1154.2,2024-06-27T07:02:30,186.0,194.0,622.0,177.0,6996.705,6996.705
1666163814.0,running,2022-10-19T07:16:54+0000,2022-10-19T08:29:25+0000,13084.13,-569831077.0,-186456339.0,28,24,1213.8,1195.4,2022-10-19T05:29:25,173.0,180.0,750.0,175.0,4292.982,4345.159
1703317793.0,running,2023-12-23T07:49:53+0000,2023-12-23T11:24:36+0000,35158.75,-569825983.0,-186466137.0,30,25,1188.2,1166.4,2023-12-23T08:24:36,317.0,335.0,1406.0,188.0,12405.913,12872.356
1714913144.0,running,2024-05-05T12:45:44+0000,2024-05-05T12:57:57+0000,2715.39,-571653825.0,-188522791.0,30,27,1133.2,1125.6,2024-05-05T09:57:57,9.0,8.0,66.0,116.0,724.77,724.77
1622705429.0,running,2021-06-03T07:30:29+0000,2021-06-03T08:55:05+0000,8331.36,,,28,26,1180.6,1168.8,2021-06-03T05:55:05,6.0,14.0,599.0,158.0,3570.835,3570.835
1716191286.0,running,2024-05-20T07:48:06+0000,2024-05-20T10:03:28+0000,21305.0,-569825855.0,-186466424.0,29,22,1224.8,1155.0,2024-05-20T07:03:28,204.0,216.0,819.0,171.0,8109.842,8109.842
1644134222.0,running,2022-02-06T07:57:02+0000,2022-02-06T08:30:43+0000,6237.66,-569830535.0,-186456385.0,29,23,1214.4,1203.4,2022-02-06T05:30:43,48.0,55.0,364.0,165.0,2008.77,2008.77
